car_price,manufacturing_year,company,model,condition,cylinders,fuel,dist_reading,title_status,transmission,VIN,drive,size,car_type,color,image_url,county,state,lat,long,posting_date
8500,2008,jeep,commander sport,good,8 cylinders,gas,198000,clean,automatic,JM1BL1SFXA1196709,rwd,full-size,SUV,black,https://images.craigslist.org/00q0q_a9Uw5jHRe4z_0CI0t2_600x450.jpg,,al,33.243031,-86.817398,2021-04-23T11:54:12-0500
16900,2015,ram,1500 slt,good,6 cylinders,gas,97563,clean,automatic,1C6RR6GG6FS645954,rwd,full-size,pickup,silver,https://images.craigslist.org/00O0O_317wrCWRwGTz_0CI0t2_600x450.jpg,,al,33.242995,-86.817398,2021-04-23T11:44:06-0500
21590,2016,ram,1500 regular cab tradesman,good,6 cylinders,gas,35391,clean,other,3C6JR6AG7GG225053,,,pickup,black,https://images.craigslist.org/00N0N_1xMPvfxRAIdz_0gw0co_600x450.jpg,,al,33.52,-86.79,2021-04-23T11:20:48-0500
24990,2007,ford,super duty f-450 drw,good,10 cylinders,gas,46463,clean,automatic,1FDXF46Y47EB23553,rwd,full-size,truck,white,https://images.craigslist.org/00U0U_lUtNiWxqpymz_0ak07K_600x450.jpg,,al,40.468785,-74.281707,2021-04-23T11:12:24-0500
33990,2016,chevrolet,express commercial cutaway,good,8 cylinders,gas,12398,clean,automatic,1GB3GSCG1G1125174,rwd,full-size,truck,white,https://images.craigslist.org/00E0E_dXMQkZEBRJHz_0ak07K_600x450.jpg,,al,40.468785,-74.281707,2021-04-23T11:11:52-0500
4500,2005,acura,mdx,,6 cylinders,gas,279000,clean,automatic,2HNYD18905H558010,,,SUV,blue,https://images.craigslist.org/00j0j_cZuw30dPly4z_0kE0fu_600x450.jpg,,al,33.455361,-86.962474,2021-04-23T11:11:25-0500
20990,2006,chevrolet,express cargo van,good,8 cylinders,diesel,134296,clean,automatic,1GCHG35U961223233,rwd,full-size,truck,white,https://images.craigslist.org/00W0W_23BpwG5SDF2z_0ak07K_600x450.jpg,,al,40.468785,-74.281707,2021-04-23T11:11:20-0500
25990,2016,,Isuzu NPR HD GAS REG,good,8 cylinders,gas,172373,clean,automatic,54DC4W1C3GS808110,rwd,full-size,truck,white,https://images.craigslist.org/00l0l_7iP6UXd85bVz_0ak07K_600x450.jpg,,al,40.468785,-74.281707,2021-04-23T11:10:48-0500
27990,2008,ford,econoline cargo van,good,8 cylinders,gas,83459,clean,automatic,1FTSE34L58DB30943,rwd,full-size,truck,white,https://images.craigslist.org/00b0b_6yDrsScAvBHz_0ak07K_600x450.jpg,,al,40.468785,-74.281707,2021-04-23T11:10:17-0500
43990,2016,chevrolet,4500 lcf gas,good,8 cylinders,gas,45542,clean,automatic,54DCDW1B9GS811777,rwd,,,white,https://images.craigslist.org/00d0d_3PPviuwbrjFz_0ak07K_600x450.jpg,,al,40.468785,-74.281707,2021-04-23T11:09:45-0500
33990,2014,ford,super duty f-550 drw,good,8 cylinders,diesel,136250,clean,automatic,1FDUF5HT3EEB73528,4wd,full-size,truck,white,https://images.craigslist.org/00m0m_gKV9XP9rJW9z_0ak07K_600x450.jpg,,al,40.468785,-74.281707,2021-04-23T11:09:13-0500
22990,2010,ford,econoline commercial cutaway,good,10 cylinders,gas,121911,clean,automatic,1FDXE4FSXADA69011,rwd,full-size,truck,white,https://images.craigslist.org/01717_9MctCPCPByvz_0ak07K_600x450.jpg,,al,40.468785,-74.281707,2021-04-23T11:08:41-0500
24990,2017,gmc,savana commercial cutaway,good,8 cylinders,gas,136965,clean,automatic,1GD07RFF7H1143170,rwd,full-size,truck,white,https://images.craigslist.org/00j0j_dXDq1W0Jpx7z_0ak07K_600x450.jpg,,al,40.468785,-74.281707,2021-04-23T11:08:10-0500
24990,2009,chevrolet,3500 lcf gas,good,8 cylinders,gas,72789,clean,automatic,4KBB4W1N39J802032,rwd,full-size,truck,white,https://images.craigslist.org/00M0M_2tbtK3w6a2hz_0ak07K_600x450.jpg,,al,40.468785,-74.281707,2021-04-23T11:07:38-0500
33990,2007,,Hino 268,good,6 cylinders,diesel,161693,clean,automatic,5PVNE8JV972S50609,rwd,full-size,truck,red,https://images.craigslist.org/00101_4LU3g220cc1z_0ak07K_600x450.jpg,,al,40.468785,-74.281707,2021-04-23T11:07:06-0500
25990,2006,chevrolet,express cargo van,good,8 cylinders,gas,73360,clean,automatic,1GCHG39U761205453,rwd,full-size,truck,white,https://images.craigslist.org/00R0R_9zgnMaLma5dz_0ak07K_600x450.jpg,,al,40.468785,-74.281707,2021-04-23T11:06:34-0500
16990,2004,ford,super duty f-250,good,8 cylinders,gas,213563,clean,automatic,1FTNW21L44EA70621,4wd,,,black,https://images.craigslist.org/01111_gB4ZM0GweVez_0ak07K_600x450.jpg,,al,40.468785,-74.281707,2021-04-23T11:06:02-0500
29990,2011,ford,super duty f-450 drw,good,8 cylinders,diesel,137481,clean,automatic,1FD0X4HT9BEC31739,4wd,full-size,truck,white,https://images.craigslist.org/00W0W_4OzxcwVZnaVz_0ak07K_600x450.jpg,,al,40.468785,-74.281707,2021-04-23T11:05:31-0500
29990,2012,,International TerraStar,good,8 cylinders,diesel,39013,clean,automatic,1HTJSSKK5CJ062097,rwd,full-size,truck,white,https://images.craigslist.org/00v0v_kga0fYXQTouz_0ak07K_600x450.jpg,,al,40.468785,-74.281707,2021-04-23T11:04:58-0500
42990,2008,chevrolet,cc4500,good,8 cylinders,diesel,67159,clean,automatic,1GBE4E1998F408675,rwd,mid-size,,red,https://images.craigslist.org/00D0D_90L07mVfV2Nz_0kE0fu_600x450.jpg,,al,40.468785,-74.281707,2021-04-23T11:04:50-0500
33990,2007,chevrolet,cc4500,good,8 cylinders,gas,77581,clean,automatic,1GBE4C1G37F426428,rwd,full-size,truck,white,https://images.craigslist.org/00g0g_jX71sXzSVODz_0kE0fu_600x450.jpg,,al,40.468785,-74.281707,2021-04-23T11:04:47-0500
21990,2005,ford,econoline commercial cutaway,good,8 cylinders,gas,45554,clean,automatic,1FDWE35L75HA87173,rwd,full-size,truck,white,https://images.craigslist.org/00p0p_6djR7GtmD8lz_0kE0fu_600x450.jpg,,al,40.468785,-74.281707,2021-04-23T11:04:47-0500
29990,2015,ford,super duty f-250 srw,good,8 cylinders,diesel,169564,clean,automatic,1FT7W2BT0FEC56912,4wd,,,white,https://images.craigslist.org/00R0R_3qAoUIyAqIqz_0kE0fu_600x450.jpg,,al,40.468785,-74.281707,2021-04-23T11:04:48-0500
49990,2015,ford,super duty f-550 drw,good,8 cylinders,diesel,152701,clean,automatic,1FD0X5HT6FEC65813,4wd,full-size,truck,white,https://images.craigslist.org/00H0H_hVkSZDMusAkz_0kE0fu_600x450.jpg,,al,40.468785,-74.281707,2021-04-23T11:04:51-0500
26990,1998,mitsubishi,fuso fh211,good,4 cylinders,diesel,166302,clean,manual,JW6CCH1G0WL002823,rwd,full-size,truck,white,https://images.craigslist.org/00K0K_1EBhQgGLNlyz_0kE0fu_600x450.jpg,,al,40.468785,-74.281707,2021-04-23T11:04:45-0500
29990,2008,chevrolet,express commercial cutaway,good,6 cylinders,diesel,65073,clean,automatic,1GBJG316781199191,rwd,,,white,https://images.craigslist.org/00909_3ztuzQzqrepz_0kE0fu_600x450.jpg,,al,40.468785,-74.281707,2021-04-23T11:04:42-0500
34990,2015,ford,transit cutaway,good,6 cylinders,gas,100058,clean,automatic,1FDNR5PM2FKA12967,rwd,,,white,https://images.craigslist.org/00K0K_lFK29Iw9AsHz_0kE0fu_600x450.jpg,,al,40.468785,-74.281707,2021-04-23T11:04:41-0500
63990,2017,,Freightliner M2 106 Medium Duty,good,6 cylinders,diesel,28400,clean,automatic,3ALACWDTXHDJG7052,rwd,full-size,truck,white,https://images.craigslist.org/00v0v_1ZMx374UaYcz_0kE0fu_600x450.jpg,,al,40.468785,-74.281707,2021-04-23T11:04:44-0500
26990,2016,chevrolet,express commercial cutaway,good,8 cylinders,gas,75734,clean,automatic,1GB3GSCG5G1118910,rwd,full-size,truck,white,https://images.craigslist.org/00I0I_gJDtnE1Elqz_0ak07K_600x450.jpg,,al,40.468785,-74.281707,2021-04-23T11:04:25-0500
